loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
3;scalar_product;scalar_product._omp_fn.0;10;avx512fintrin.h:12528-12528;Single;93.31;13.52;12.99;13.19;13.43;0.56463652849197;0.16946171224117;8;;
1;scalar_product;init_f64._omp_fn.2;8;scalar_product.c:35-35;Single;0.36;0.05;0.04;0.05;0.06;0.042088594287634;0.0062321173027158;8;;
