name;time_p;time_s;cpi_ratio;
/home/user/macao-kitchen/al_dense/maqao-report/binaries/scalar_product;93.67;13.57;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;6.31;0.91;;
kernel;0.01;0;;
