function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;flops;
10;scalar_product;scalar_product._omp_fn.0;avx512fintrin.h:12528-12528,scalar_product.c:77-81,scalar_product.c:88-88;92.84;13.1;;;;;;;"100,0,0,0,0,0,0,0,0,0";scalar_product._omp_fn.0;;
269;libgomp.so.1.0.0;omp_get_num_procs;;6.66;0.94;;;;;;;"0,0,100,0,0,0,0,0,0,0";omp_get_num_procs;;
8;scalar_product;init_f64._omp_fn.2;scalar_product.c:33-35;0.43;0.06;;;;;;;"100,0,0,0,0,0,0,0,0,0";init_f64._omp_fn.2;;
-1;kernel;unknown_kernel_region;;0.07;0.01;;;;;;;"0,0,0,0,100,0,0,0,0,0";unknown kernel region;;
