ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 3;scalar_product;avx512fintrin.h:12528-12528;scalar_product._omp_fn.0;Single;13.43;13.52;93.31;1.00;1.00;1.00;1.00;1;100.00;100.00;32.00;32.00;32.00;32.00;32.00
Loop 1;scalar_product;scalar_product.c:35-35;init_f64._omp_fn.2;Single;0.06;0.05;0.36;1.00;1.00;1.00;8.00;1;100.00;100.00;8.00;8.00;8.00;8.00;1.00
